"last_name, first_name","player_id","year","batting_avg","hard_hit_percent","oz_swing_miss_percent",""
"Turner, Justin","457759","2023",".276",39,31.1,
"Santana, Carlos","467793","2023",".240",36.4,34.9,
"Goldschmidt, Paul","502671","2023",".268",50.8,37.2,
"Freeman, Freddie","518692","2023",".331",42.2,36.9,
"LeMahieu, DJ","518934","2023",".243",43,36.5,
"Perez, Salvador","521692","2023",".255",44,43.5,
"Ozuna, Marcell","542303","2023",".274",49,46.4,
"Semien, Marcus","543760","2023",".276",37,40,
"Springer III, George","543807","2023",".258",39.9,44.8,
"Harper, Bryce","547180","2023",".293",46.8,52.5,
"Abreu, Jose","547989","2023",".237",41.6,40.5,
"Diaz, Elias","553869","2023",".267",38.5,45.6,
"Suarez, Eugenio","553993","2023",".232",43,55.5,
"Arenado, Nolan","571448","2023",".266",38.1,35.9,
"Hernandez, Enrique","571771","2023",".237",33.7,41.4,
"Muncy, Max","571970","2023",".212",46.6,48.4,
"Walker, Christian","572233","2023",".258",40.4,46.7,
"Canha, Mark","592192","2023",".262",36.7,36.2,
"Castellanos, Nick","592206","2023",".272",43.2,55.4,
"Drury, Brandon","592273","2023",".262",46.3,49,
"Machado, Manny","592518","2023",".258",45.9,41.2,
"Realmuto, J.T.","592663","2023",".252",43.3,43.7,
"Renfroe, Hunter","592669","2023",".233",39.1,42.3,
"Rosario, Eddie","592696","2023",".255",35.4,39.8,
"Yelich, Christian","592885","2023",".278",50.1,48.4,
"Merrifield, Whit","593160","2023",".272",24.3,30.2,
"Bogaerts, Xander","593428","2023",".285",34.6,36.7,
"Profar, Jurickson","595777","2023",".242",31.8,41.4,
"Baez, Javier","595879","2023",".222",39.7,46.3,
"Lindor, Francisco","596019","2023",".254",43.9,38.8,
"Candelario, Jeimer","600869","2023",".251",36.4,42.3,
"Bell, Josh","605137","2023",".247",43,44.8,
"Betts, Mookie","605141","2023",".307",48.5,46.1,
"Davis, J.D.","605204","2023",".248",45.2,56.2,
"Arcia, Orlando","606115","2023",".264",41.1,41.2,
"Hernandez, Teoscar","606192","2023",".258",49.4,57.3,
"Marte, Ketel","606466","2023",".276",42.8,37.7,
"Nimmo, Brandon","607043","2023",".274",47.9,44.6,
"Turner, Trea","607208","2023",".266",42.2,50.5,
"Ramirez, Jose","608070","2023",".282",40.4,30.2,
"Bregman, Alex","608324","2023",".262",38.2,30,
"Seager, Corey","608369","2023",".327",53.2,56,
"Meneses, Joey","608841","2023",".275",41.7,42,
"Swanson, Dansby","621020","2023",".244",39.7,43.6,
"Correa, Carlos","621043","2023",".230",45.9,43,
"Olson, Matt","621566","2023",".283",55.5,37.6,
"Santander, Anthony","623993","2023",".257",46,32.4,
"Alonso, Pete","624413","2023",".217",40.1,43.1,
"Soler, Jorge","624585","2023",".250",48,44.9,
"Cronenworth, Jake","630105","2023",".229",33.2,33.7,
"Anderson, Tim","641313","2023",".245",39.4,40.9,
"Bellinger, Cody","641355","2023",".307",31.4,31.6,
"Crawford, J.P.","641487","2023",".266",36.2,37.4,
"Heim, Jonah","641680","2023",".258",38.5,36.3,
"McMahon, Ryan","641857","2023",".240",44.2,49.2,
"Smith, Dominic","642086","2023",".254",30.8,33.2,
"Rosario, Amed","642708","2023",".263",39.4,36.8,
"Adames, Willy","642715","2023",".217",36.5,50.6,
"Estrada, Thairo","642731","2023",".271",33.7,37.8,
"Benintendi, Andrew","643217","2023",".262",27,28.4,
"McNeil, Jeff","643446","2023",".270",27.4,28.8,
"Albies, Ozzie","645277","2023",".280",39,34.1,
"Devers, Rafael","646240","2023",".271",55.1,30.7,
"Arraez, Luis","650333","2023",".354",25.7,12.5,
"Torres, Gleyber","650402","2023",".273",40.3,35.4,
"Diaz, Yandy","650490","2023",".330",54,39.5,
"De La Cruz, Bryan","650559","2023",".257",42.5,40.6,
"Chapman, Matt","656305","2023",".240",56.4,45.6,
"McKinstry, Zach","656716","2023",".231",33.5,40.3,
"Schwarber, Kyle","656941","2023",".197",48.8,52.1,
"Thomas, Lane","657041","2023",".268",40.7,44.7,
"Verdugo, Alex","657077","2023",".264",37.6,37.4,
"Ohtani, Shohei","660271","2023",".304",54.2,48.5,
"Acuna Jr., Ronald","660670","2023",".337",55.2,31.8,
"Ruiz, Keibert","660688","2023",".260",31.9,25.1,
"Contreras, William","661388","2023",".289",48.7,44.6,
"Varsho, Daulton","662139","2023",".220",36.1,44.9,
"Nootbaar, Lars","663457","2023",".261",37.8,34.3,
"Hoerner, Nico","663538","2023",".283",33.4,24,
"Riley, Austin","663586","2023",".281",49.2,44.6,
"Hayes, Ke'Bryan","663647","2023",".271",48.3,41.2,
"Tucker, Kyle","663656","2023",".284",45.9,38.7,
"India, Jonathan","663697","2023",".244",38.6,42.3,
"Raleigh, Cal","663728","2023",".232",41,47,
"Grisham, Trent","663757","2023",".198",40,46.5,
"Vierling, Matt","663837","2023",".261",42.8,33.1,
"Stephenson, Tyler","663886","2023",".243",43.5,50,
"Lowe, Nathaniel","663993","2023",".262",41.6,41.4,
"Happ, Ian","664023","2023",".248",39,44.6,
"France, Ty","664034","2023",".250",38.6,45.1,
"Straw, Myles","664702","2023",".238",23.3,22.4,
"Bohm, Alec","664761","2023",".274",41.7,32.8,
"Wade Jr., LaMonte","664774","2023",".256",39.8,48.4,
"Pena, Jeremy","665161","2023",".263",35.8,54.9,
"Tatis Jr., Fernando","665487","2023",".257",49.3,47.9,
"Guerrero Jr., Vladimir","665489","2023",".264",49.2,41.1,
"Soto, Juan","665742","2023",".275",55.3,39.5,
"Taveras, Leody","665750","2023",".266",43.1,44.5,
"Gimenez, Andres","665926","2023",".251",27,35.9,
"Lowe, Josh","666139","2023",".292",39.7,45,
"Bichette, Bo","666182","2023",".306",44.9,38,
"Garcia, Adolis","666969","2023",".245",49.7,48.3,
"Gurriel Jr., Lourdes","666971","2023",".261",46,34.2,
"Rooker Jr., Brent","667670","2023",".246",49.5,64.5,
"Arozarena, Randy","668227","2023",".254",48.3,40,
"Steer, Spencer","668715","2023",".271",37.1,43,
"Reynolds, Bryan","668804","2023",".263",47.3,52.7,
"Rutschman, Adley","668939","2023",".277",38.6,27.1,
"Melendez Jr., MJ","669004","2023",".235",49.6,52.1,
"Edman, Tommy","669242","2023",".248",38.8,34.8,
"Smith, Will","669257","2023",".261",41.6,27.6,
"Suwinski, Jack","669261","2023",".224",43.4,55.1,
"Burger, Jake","669394","2023",".250",49.6,55.5,
"Hays, Austin","669720","2023",".275",40.1,49.1,
"Paredes, Isaac","670623","2023",".250",28.5,33,
"Friedl Jr., TJ","670770","2023",".279",27.6,35.5,
"Casas, Triston","671213","2023",".263",46.6,43.6,
"Harris II, Michael","671739","2023",".293",48.5,35.8,
"Garcia, Maikel","672580","2023",".272",50.6,32.8,
"Robert Jr., Luis","673357","2023",".264",42.3,54.3,
"Kim, Ha-Seong","673490","2023",".260",26.7,27.2,
"Suzuki, Seiya","673548","2023",".285",48,39.3,
"Jung, Josh","673962","2023",".266",47.4,47.9,
"Rodriguez, Julio","677594","2023",".275",52,48.6,
"Witt Jr., Bobby","677951","2023",".276",45.6,36.5,
"Tovar, Ezequiel","678662","2023",".253",36.4,51.7,
"Torkelson, Spencer","679529","2023",".233",50.9,45.9,
"Kwan, Steven","680757","2023",".268",18.8,26.9,
"Stott, Bryson","681082","2023",".280",35.2,23.9,
"Outman, James","681546","2023",".248",39.9,61.3,
"Abrams, CJ","682928","2023",".245",35.9,36,
"Carroll, Corbin","682998","2023",".285",40.9,37.2,
"Henderson, Gunnar","683002","2023",".255",52,41.5,
"Volpe, Anthony","683011","2023",".209",43,49.3,
"Vaughn, Andrew","683734","2023",".258",46.5,44,
"Yoshida, Masataka","807799","2023",".289",40.6,29,